Time Stamp,Name,Load
01/01/2004 01:34:17,DUNWOD,556
01/01/2004 01:34:17,GENESE,872
01/01/2004 01:34:17,HUD VL,1005
01/01/2004 01:34:17,MHK VL,575
01/01/2004 01:34:17,MILLWD,198
01/01/2004 01:34:17,N.Y.C._LONGIL,6612
01/01/2004 01:34:17,NORTH,623
01/01/2004 01:34:17,WEST,1480
01/01/2004 01:35:47,CAPITL,890
01/01/2004 01:35:47,CENTRL,1525
01/01/2004 01:35:47,DUNWOD,551
01/01/2004 01:35:47,GENESE,881
01/01/2004 01:35:47,HUD VL,987
01/01/2004 01:35:47,MHK VL,569
01/01/2004 01:35:47,MILLWD,196
01/01/2004 01:35:47,N.Y.C._LONGIL,6602
01/01/2004 01:35:47,NORTH,628
01/01/2004 01:35:47,WEST,1469
01/01/2004 01:40:47,CAPITL,890
01/01/2004 01:40:47,CENTRL,1507
01/01/2004 01:40:47,DUNWOD,554
01/01/2004 01:40:47,GENESE,873
01/01/2004 01:40:47,HUD VL,974
01/01/2004 01:40:47,MHK VL,574
01/01/2004 01:40:47,MILLWD,196
01/01/2004 01:40:47,N.Y.C._LONGIL,6562
01/01/2004 01:40:47,NORTH,626
01/01/2004 01:40:47,WEST,1477
01/01/2004 01:45:47,CAPITL,892
01/01/2004 01:45:47,CENTRL,1492
01/01/2004 01:45:47,DUNWOD,544
01/01/2004 01:45:47,GENESE,866
01/01/2004 01:45:47,HUD VL,972
01/01/2004 01:45:47,MHK VL,576
01/01/2004 01:45:47,MILLWD,197
01/01/2004 01:45:47,N.Y.C._LONGIL,6531
01/01/2004 01:45:47,NORTH,633
01/01/2004 01:45:47,WEST,1458
01/01/2004 01:50:47,CAPITL,897
01/01/2004 01:50:47,CENTRL,1514
01/01/2004 01:50:47,DUNWOD,540
01/01/2004 01:50:47,GENESE,866
01/01/2004 01:50:47,HUD VL,975
01/01/2004 01:50:47,MHK VL,552
01/01/2004 01:50:47,MILLWD,192
01/01/2004 01:50:47,N.Y.C._LONGIL,6492
01/01/2004 01:50:47,NORTH,632
01/01/2004 01:50:47,WEST,1467
01/01/2004 01:55:17,CAPITL,890
01/01/2004 01:55:17,CENTRL,1512
01/01/2004 01:55:17,DUNWOD,547
01/01/2004 01:55:17,GENESE,863
01/01/2004 01:55:17,HUD VL,984
01/01/2004 01:55:17,MHK VL,554
01/01/2004 01:55:17,MILLWD,185
01/01/2004 01:55:17,N.Y.C._LONGIL,6461
01/01/2004 01:55:17,NORTH,624
01/01/2004 01:55:17,WEST,1462
01/01/2004 02:00:00,CAPITL,891
01/01/2004 02:00:00,CENTRL,1507
01/01/2004 02:00:00,DUNWOD,541
01/01/2004 02:00:00,GENESE,858
01/01/2004 02:00:00,HUD VL,977
01/01/2004 02:00:00,MHK VL,571
01/01/2004 02:00:00,MILLWD,195
01/01/2004 02:00:00,N.Y.C._LONGIL,6468
01/01/2004 02:00:00,NORTH,604
01/01/2004 02:00:00,WEST,1457
01/01/2004 02:00:47,CAPITL,893
01/01/2004 02:00:47,CENTRL,1499
01/01/2004 02:00:47,DUNWOD,539
01/01/2004 02:00:47,GENESE,856
01/01/2004 02:00:47,HUD VL,959
01/01/2004 02:00:47,MHK VL,572
01/01/2004 02:00:47,MILLWD,192
01/01/2004 02:00:47,N.Y.C._LONGIL,6443
01/01/2004 02:00:47,NORTH,608
01/01/2004 02:00:47,WEST,1443
01/01/2004 02:05:17,CAPITL,875
01/01/2004 02:05:17,CENTRL,1498
01/01/2004 02:05:17,DUNWOD,551
01/01/2004 02:05:17,GENESE,855
01/01/2004 02:05:17,HUD VL,963
01/01/2004 02:05:17,MHK VL,555
01/01/2004 02:05:17,MILLWD,184
01/01/2004 02:05:17,N.Y.C._LONGIL,6445
01/01/2004 02:05:17,NORTH,624
01/01/2004 02:05:17,WEST,1464
01/01/2004 02:06:47,CAPITL,883
01/01/2004 02:06:47,CENTRL,1489
01/01/2004 02:06:47,DUNWOD,538
01/01/2004 02:06:47,GENESE,853
01/01/2004 02:06:47,HUD VL,964
01/01/2004 02:06:47,MHK VL,568
01/01/2004 02:06:47,MILLWD,192
01/01/2004 02:06:47,N.Y.C._LONGIL,6396
01/01/2004 02:06:47,NORTH,608
01/01/2004 02:06:47,WEST,1444
01/01/2004 02:11:47,CAPITL,888
01/01/2004 02:11:47,CENTRL,1488
01/01/2004 02:11:47,DUNWOD,530
01/01/2004 02:11:47,GENESE,849
01/01/2004 02:11:47,HUD VL,957
01/01/2004 02:11:47,MHK VL,550
01/01/2004 02:11:47,MILLWD,190
01/01/2004 02:11:47,N.Y.C._LONGIL,6369
01/01/2004 02:11:47,NORTH,618
01/01/2004 02:11:47,WEST,1458
01/01/2004 02:16:47,CAPITL,874
01/01/2004 02:16:47,CENTRL,1485
01/01/2004 02:16:47,DUNWOD,542
01/01/2004 02:16:47,GENESE,849
01/01/2004 02:16:47,HUD VL,952
01/01/2004 02:16:47,MHK VL,551
01/01/2004 02:16:47,MILLWD,182
01/01/2004 02:16:47,N.Y.C._LONGIL,6359
01/01/2004 02:16:47,NORTH,620
01/01/2004 02:16:47,WEST,1431
01/01/2004 02:18:17,CAPITL,877
01/01/2004 02:18:17,CENTRL,1488
01/01/2004 02:18:17,DUNWOD,539
01/01/2004 02:18:17,GENESE,843
01/01/2004 02:18:17,HUD VL,948
01/01/2004 02:18:17,MHK VL,541
01/01/2004 02:18:17,MILLWD,187
01/01/2004 02:18:17,N.Y.C._LONGIL,6316
01/01/2004 02:18:17,NORTH,629
01/01/2004 02:18:17,WEST,1445
01/01/2004 02:23:17,CAPITL,871
01/01/2004 02:23:17,CENTRL,1470
01/01/2004 02:23:17,DUNWOD,532
01/01/2004 02:23:17,GENESE,839
01/01/2004 02:23:17,HUD VL,956
01/01/2004 02:23:17,MHK VL,543
01/01/2004 02:23:17,MILLWD,192
01/01/2004 02:23:17,N.Y.C._LONGIL,6303
01/01/2004 02:23:17,NORTH,621
01/01/2004 02:23:17,WEST,1439
01/01/2004 02:24:47,CAPITL,875
01/01/2004 02:24:47,CENTRL,1471
01/01/2004 02:24:47,DUNWOD,534
01/01/2004 02:24:47,GENESE,836
01/01/2004 02:24:47,HUD VL,957
01/01/2004 02:24:47,MHK VL,549
01/01/2004 02:24:47,MILLWD,184
01/01/2004 02:24:47,N.Y.C._LONGIL,6296
01/01/2004 02:24:47,NORTH,618
01/01/2004 02:24:47,WEST,1444
01/01/2004 02:27:17,CAPITL,870
01/01/2004 02:27:17,CENTRL,1468
01/01/2004 02:27:17,DUNWOD,528
01/01/2004 02:27:17,GENESE,836
